model,hidden_dim,epochs,epoch,training_accuracy,validation_accuracy,test_accuracy
FFNN,2,1,1,0.53725,0.55375, 0.0375 
FFNN,3,1,1,0.53125,0.5375
FFNN,60,5,1,0.536875,0.5375
FFNN,60,5,2,0.580125,0.595
FFNN,60,5,3,0.620625,0.5375
FFNN,60,5,4,0.66175,0.57375
FFNN,60,5,5,0.65775,0.565
FFNN,64,5,1,0.53775,0.54
FFNN,64,5,2,0.58175,0.58625
FFNN,64,5,3,0.619625,0.53875
FFNN,64,5,4,0.660375,0.575
FFNN,64,5,5,0.658625,0.57375
FFNN,68,5,1,0.538875,0.53875
FFNN,68,5,2,0.583,0.5975
FFNN,68,5,3,0.62075,0.5425
FFNN,68,5,4,0.661375,0.57375
FFNN,68,5,5,0.6615,0.55875
